Country_Code,GDP,year
TD,914.250602943879,2008
TD,918.265540053882,2007
TD,910.773451555824,2006
TD,949.086011648517,2005
TD,842.158764877398,2004
TD,658.928454990582,2003
TD,597.786883652378,2002
TD,570.530862613474,2001
TD,528.492179115295,2000
TD,551.947186722004,1999
TD,575.613454821804,1998
TD,557.037835216989,1997
TD,545.748810715064,1996
TD,558.105168632108,1995
TD,576.125343212834,1994
TD,535.275325824833,1993
TD,650.191392560677,1992
TD,628.115135165801,1991
TD,600.276187628904,1990
TD,644.025132143813,1989
TD,635.204573980029,1988
TD,568.987981296974,1987
TD,603.697856712232,1986
TD,648.505099313552,1985
TD,537.861632659426,1984
TD,534.050627731447,1983
TD,485.113211509701,1982
TD,482.648876976385,1981
TD,478.249651499359,1980
TD,510.17200603682,1979
TD,663.254008649591,1978
TD,678.644466468524,1977
TD,676.360008407041,1976
TD,670.031722133696,1975
TD,628.044931446613,1974
TD,612.23334700116,1973
TD,684.14119695127,1972
TD,691.632027177143,1971
TD,722.62143852215,1970
TD,724.334592296831,1969
TD,691.503460575667,1968
TD,708.483915631293,1967
TD,716.904546203233,1966
TD,744.526651947738,1965
TD,754.973457100007,1964
TD,790.326588978904,1963
TD,819.690432670766,1962
TD,793.902104942246,1961
TD,798.903056875694,1960
CI,2013.32307598499,2018
CI,1972.81431788947,2017
CI,1889.27777949938,2016
CI,1814.71855088017,2015
CI,1742.53693001178,2014
CI,1632.32712787006,2013
CI,1503.43433046682,2012
CI,1426.46463864534,2011
CI,1540.52927270246,2010
CI,1473.9183699329,2009
CI,1454.62731800082,2008
CI,1420.1738958245,2007
CI,1437.77453798586,2006
CI,1431.73320203111,2005
CI,1451.86547141894,2004
CI,1441.58801755037,2003
CI,1551.27925902838,2002
CI,1636.57318705218,2001
CI,1717.95385651231,2000
CI,1770.86540389357,1999
CI,1808.42289027986,1998
CI,1801.13163122133,1997
CI,1706.97650014485,1996
CI,1647.08777075504,1995
CI,1598.69239055813,1994
CI,1649.47036183619,1993
CI,1719.71261335163,1992
CI,1794.12062566918,1991
CI,1866.0785698741,1990
CI,1962.42170003804,1989
CI,1981.38877451772,1988
CI,2035.62090959375,1987
CI,2123.07460132975,1986
CI,2138.06011188618,1985
CI,2128.64190478015,1984
CI,2276.86700017061,1983
CI,2466.30363782942,1982
CI,2562.42591923373,1981
CI,2576.91660095729,1980
CI,3010.66074752137,1979
CI,3055.94030479339,1978
CI,2861.15876809449,1977
CI,2765.86772079083,1976
CI,2551.2970644557,1975
CI,2466.81998522238,1974
CI,2475.02677039287,1973
CI,2445.07611276194,1972
CI,2453.14652785489,1971
CI,2340.31065205636,1970
CI,2209.89957239449,1969
CI,2099.19940540587,1968
CI,1939.09574002605,1967
CI,1927.01291240163,1966
CI,1795.15446525207,1965
CI,1925.78185183022,1964
CI,1701.85098116155,1963
CI,1544.73084077175,1962
CI,1584.79700802047,1961
CI,1495.16746754194,1960
CD,473.294077418165,2018
CD,462.482920889479,2017
CD,462.47214741215,2016
CD,467.9145805459,2015
CD,452.339650501681,2014
CD,427.458520350728,2013
CD,407.671076943679,2012
CD,393.616173563894,2011
CD,380.578038274352,2010
CD,366.830226544363,2009
CD,367.843747648712,2008
CD,356.886805082139,2007
CD,346.179697463638,2006
CD,338.980980805364,2005
CD,329.3490636773,2004
CD,317.778121357431,2003
CD,309.911785375198,2002
CD,310.380267408895,2001
CD,327.240142486849,2000
CD,362.993793858463,1999
CD,392.136003823522,1998
CD,409.588064385259,1997
CD,440.994059132614,1996
CD,454.200631347294,1995
CD,470.161734645697,1994
CD,512.954857325072,1993
CD,614.369536883349,1992
CD,710.032087422205,1991
CD,801.567015056407,1990
CD,886.860720480585,1989
CD,927.077247982041,1988
